"open","high","low","close","adjusted close","volume","dividend amount","split coefficient","dates"
170.78,171.25,169.78,170.75,149.472238977,1202100,0,1,"2014-03-25"
171.19,171.39,169.16,169.92,148.74566821,2004900,0.779,1,"2014-03-24"
172.81,173.189,171.24,171.42,149.373941526,825200,0,1,"2014-03-21"
170.68,172.16,170.3686,171.99,149.870634716,818200,0,1,"2014-03-20"
172.03,172.23,169.99,171.02,149.025384902,1166300,0,1,"2014-03-19"
171.07,172.18,170.93,171.96,149.84449297,779700,0,1,"2014-03-18"
170.06,171.135,169.99,170.75,148.79010918,1695400,0,1,"2014-03-17"
169.35,170.2214,169,169.23,147.465594006,1323500,0,1,"2014-03-14"
172.14,172.24,169.2101,169.72,147.892575871,1659400,0,1,"2014-03-13"
170.73,171.65,170.36,171.62,149.548219839,1065000,0,1,"2014-03-12"
172.73,172.92,171.17,171.5,149.443652851,945700,0,1,"2014-03-11"
172.24,172.48,171.47,172.45,150.271474835,885300,0,1,"2014-03-10"
173.08,173.13,171.79,172.42,150.245333088,1205600,0,1,"2014-03-07"
172.54,172.839,172.19,172.46,150.280188751,1037000,0,1,"2014-03-06"
172,172.31,171.79,171.91,149.800923392,983100,0,1,"2014-03-05"
171.17,172.23,171.13,171.88,149.774781645,1281500,0,1,"2014-03-04"
169.19,169.89,168.38,169.46,147.666014065,2235900,0,1,"2014-03-03"
170.22,171.469,169.566,170.63,148.685542192,853900,0,1,"2014-02-28"
169.15,170.27,168.97,170.25,148.354413399,1034200,0,1,"2014-02-27"
169.59,170.04,168.91,169.31,147.535305331,709000,0,1,"2014-02-26"
169.58,170.03,168.84,169.31,147.535305331,1001000,0,1,"2014-02-25"
168.87,170.566,168.78,169.37,147.587588825,978600,0,1,"2014-02-24"
169.02,169.41,168.42,168.57,146.890475575,706200,0,1,"2014-02-21"
167.93,169.07,167.33,168.65,146.9601869,1080000,0,1,"2014-02-20"
168.42,169.48,167.574,167.7,146.132364916,1928100,0,1,"2014-02-19"
168.74,169.04,168.27,168.86,147.143179128,1174300,0,1,"2014-02-18"
167.56,168.91,167.37,168.61,146.925331238,917200,0,1,"2014-02-14"
165.7,167.84,165.7,167.72,146.149792748,1336600,0,1,"2014-02-13"
166.99,167.5,166.48,166.9,145.435251667,1855000,0,1,"2014-02-12"
165.12,167.1286,164.97,166.75,145.304542933,1497400,0,1,"2014-02-11"
164.64,164.96,164.2,164.93,143.71861029,937400,0,1,"2014-02-10"
163.37,164.7787,162.85,164.67,143.492048484,1258200,0,1,"2014-02-07"
160.91,162.59,160.88,162.57,141.662126204,1109600,0,1,"2014-02-06"
160.1,160.82,159.18,160.42,139.788634346,1701400,0,1,"2014-02-05"
160.29,161.08,159.73,160.69,140.023910068,1116700,0,1,"2014-02-04"
163.02,163.4134,159.26,159.61,139.082807181,2969400,0,1,"2014-02-03"
162.15,164.246,162.0998,163.18,142.193675057,1322100,0,1,"2014-01-31"
163.89,164.72,163.33,164.2,143.08249445,2086700,0,1,"2014-01-30"
162.75,163.57,162.07,162.38,141.496561807,1346400,0,1,"2014-01-29"
163.24,164.25,163.18,164.09,142.986641378,1067400,0,1,"2014-01-28"
164.07,164.45,162.2867,163.08,142.106535901,2882100,0,1,"2014-01-27"
166.37,166.42,163.87,163.88,142.80364915,1828900,0,1,"2014-01-24"
168.01,168.01,166.59,167.48,145.940658773,1294000,0,1,"2014-01-23"
169.06,169.08,168.49,168.84,147.125751297,751200,0,1,"2014-01-22"
169.22,169.28,167.71,168.74,147.038612141,1366400,0,1,"2014-01-21"
168.7,168.99,167.97,168.21,146.576774613,904300,0,1,"2014-01-17"
168.82,169,168.42,168.94,147.212890453,778500,0,1,"2014-01-16"
168.63,169.43,168.59,169.2,147.439452259,943100,0,1,"2014-01-15"
167.03,168.3568,166.71,168.25,146.611630275,866000,0,1,"2014-01-14"
168.29,168.74,166.15,166.52,145.104122873,1338500,0,1,"2014-01-13"
168.55,168.75,167.66,168.66,146.968900816,990200,0,1,"2014-01-10"
168.67,168.68,167.49,168.27,146.629058107,1117200,0,1,"2014-01-09"
168.07,168.4,167.5514,168.17,146.54191895,3147500,0,1,"2014-01-08"
167.73,168.37,167.63,168.1,146.480921541,824700,0,1,"2014-01-07"
168.11,168.16,166.82,167.06,145.574674317,1339000,0,1,"2014-01-06"
167.88,168.21,167.3257,167.48,145.940658773,1710500,0,1,"2014-01-03"
168.53,168.61,167.2,167.63,146.071367507,1731300,0,1,"2014-01-02"
168.66,169.23,168.52,169.15,147.395882681,774400,0,1,"2013-12-31"
168.46,168.56,168.2,168.37,146.716197263,1112800,0,1,"2013-12-30"
168.72,168.76,168.27,168.44,146.777194672,929700,0,1,"2013-12-27"
167.95,168.53,167.95,168.43,146.768480756,968100,0,1,"2013-12-26"
167.23,167.67,167.22,167.65,146.088795338,585700,0.914,1,"2013-12-24"
168.07,168.95,167.75,168.95,146.423328661,1480200,0,1,"2013-12-23"
166.44,167.65,166.44,167.18,144.88932871,1303500,0,1,"2013-12-20"
166.03,166.47,165.57,166.34,144.161328733,1242900,0,1,"2013-12-19"
163.92,166.51,162.01,166.49,144.291328729,3112400,0,1,"2013-12-18"
164.33,164.36,163.31,163.64,141.821328808,1479800,0,1,"2013-12-17"
163.96,164.72,163.9,164.22,142.323995458,1838100,0,1,"2013-12-16"
163.53,163.68,162.88,163.18,141.422662154,2151000,0,1,"2013-12-13"
163.64,163.85,162.87,163.23,141.465995486,3453800,0,1,"2013-12-12"
165.67,165.7,163.54,163.77,141.933995471,1079100,0,1,"2013-12-11"
165.82,166.1671,165.51,165.65,143.563328752,1747700,0,1,"2013-12-10"
166.25,166.43,165.99,166.22,144.057328736,1586300,0,1,"2013-12-09"
165.55,165.92,165.06,165.84,143.727995414,1208700,0,1,"2013-12-06"
164.4,164.65,163.8,163.98,142.115995465,1168500,0,1,"2013-12-05"
164.1,165.34,163.39,164.61,142.661995448,1374100,0,1,"2013-12-04"
164.89,165.26,164.16,164.8,142.826662109,1076900,0,1,"2013-12-03"
165.95,166.22,165.15,165.44,143.381328758,1409000,0,1,"2013-12-02"
166.1,166.51,165.65,165.7,143.606662084,614400,0,1,"2013-11-29"
165.7,166.04,165.51,165.94,143.814662077,826300,0,1,"2013-11-27"
165.59,166.01,165.29,165.49,143.42466209,773300,0,1,"2013-11-26"
165.93,165.97,165.26,165.57,143.493995421,810000,0,1,"2013-11-25"
164.91,165.67,164.716,165.67,143.580662085,1405200,0,1,"2013-11-22"
164,164.95,163.88,164.83,142.852662108,2121600,0,1,"2013-11-21"
164.34,164.82,163.08,163.55,141.74332881,1468000,0,1,"2013-11-20"
164.28,164.78,163.74,164.07,142.193995462,1156500,0,1,"2013-11-19"
165.28,165.37,164.01,164.39,142.471328787,1319800,0,1,"2013-11-18"
164.5,165,164.32,165,142.999995437,710300,0,1,"2013-11-15"
163.61,164.38,163.3154,164.29,142.384662123,1720600,0,1,"2013-11-14"
161.33,163.44,161.33,163.38,141.595995482,1336300,0,1,"2013-11-13"
162.09,162.47,161.58,162.13,140.512662183,929600,0,1,"2013-11-12"
162.28,162.6199,162.09,162.42,140.763995508,1109900,0,1,"2013-11-11"
160.22,162.45,160.18,162.45,140.789995507,1629500,0,1,"2013-11-08"
162.65,162.74,160.1,160.25,138.883328901,1242100,0,1,"2013-11-07"
162.21,162.59,161.73,162.33,140.685995511,1510400,0,1,"2013-11-06"
161.34,161.91,160.84,161.58,140.035995531,1147000,0,1,"2013-11-05"
161.91,162.07,161.38,162.07,140.460662184,2940900,0,1,"2013-11-04"
161.28,161.78,160.53,161.34,139.827995538,1341300,0,1,"2013-11-01"
161.4,162.04,160.801,160.88,139.429328884,1437500,0,1,"2013-10-31"
162.53,162.62,160.93,161.48,139.949328867,3362100,0,1,"2013-10-30"
161.79,162.39,161.59,162.39,140.737995509,844500,0,1,"2013-10-29"
161.15,161.6661,160.96,161.4,139.879995536,1155000,0,1,"2013-10-28"
160.8,161.2,160.48,161.2,139.706662209,1019700,0,1,"2013-10-25"
160.22,160.64,159.86,160.46,139.065328896,1591200,0,0.5,"2013-10-24"
80.08,80.1,79.6861,79.97,138.614662243,1896400,0,1,"2013-10-23"
80.13,80.57,80.01,80.34,139.255995556,2729800,0,1,"2013-10-22"
79.92,80.03,79.71,79.91,138.510662247,2018200,0,1,"2013-10-21"
79.62,79.93,79.48,79.87,138.441328916,3343800,0,1,"2013-10-18"
78.5,79.38,78.49,79.34,137.522662278,5097800,0,1,"2013-10-17"
78.18,78.85,78.15,78.8,136.586662308,6205600,0,1,"2013-10-16"
78.09,78.38,77.63,77.74,134.749329033,3311400,0,1,"2013-10-15"
77.51,78.35,77.44,78.32,135.754662335,2816800,0,1,"2013-10-14"
77.37,78.011,77.31,77.98,135.16532902,2471800,0,1,"2013-10-11"
76.6,77.52,76.6,77.52,134.367995712,2882400,0,1,"2013-10-10"
75.95,76.12,75.36,75.81,131.403995807,2680200,0,1,"2013-10-09"
76.67,76.76,75.74,75.81,131.403995807,4143200,0,1,"2013-10-08"
76.68,77.15,76.61,76.7,132.946662424,1381600,0,1,"2013-10-07"
76.84,77.43,76.74,77.36,134.090662388,1076800,0,1,"2013-10-04"
77.3,77.36,76.42,76.8,133.119995752,2895400,0,1,"2013-10-03"
77.09,77.5,76.87,77.49,134.315995714,2507200,0,1,"2013-10-02"
77.02,77.63,76.96,77.59,134.489329042,2220800,0,1,"2013-10-01"
76.7,77.19,76.55,77,133.466662408,3043600,0,1,"2013-09-30"
77.35,77.47,77.17,77.43,134.211995717,2811800,0,1,"2013-09-27"
77.56,77.93,77.43,77.76,134.783995699,1244400,0,1,"2013-09-26"
77.7,77.83,77.3601,77.45,134.246662383,1578000,0,1,"2013-09-25"
77.82,78.11,77.51,77.7,134.679995702,3264800,0,1,"2013-09-24"
78.08,78.15,77.58,77.87,134.97466236,2801400,0.393,1,"2013-09-23"
79.33,79.33,78.53,78.55,135.469630967,1222800,0,1,"2013-09-20"
79.48,79.52,79.06,79.17,136.538901128,5928000,0,1,"2013-09-19"
78.34,79.48,78.14,79.3,136.763102936,1981800,0,1,"2013-09-18"
78.08,78.36,78.08,78.36,135.141951401,4702800,0,1,"2013-09-17"
78.41,78.44,77.89,78.04,134.590070027,1387800,0,1,"2013-09-16"
77.46,77.63,77.3,77.57,133.779494259,1080000,0,1,"2013-09-13"
77.58,77.669,77.28,77.41,133.503553573,1711000,0,1,"2013-09-12"
77.25,77.6,77.11,77.6,133.831233138,1615200,0,1,"2013-09-11"
77.24,77.36,77.08,77.36,133.417322108,2077200,0,1,"2013-09-10"
76.25,76.814,76.25,76.78,132.417037118,2370800,0,1,"2013-09-09"
76.27,76.47,75.33,76.03,131.123565148,2218400,0,1,"2013-09-06"
75.95,76.2,75.9,75.9,130.89936334,1385600,0,1,"2013-09-05"
75.31,76.03,75.18,75.92,130.933855926,1400400,0,1,"2013-09-04"
75.66,75.82,74.97,75.29,129.847339471,3138800,0,1,"2013-09-03"
75.32,75.32,74.726,74.85,129.088502582,1740600,0,1,"2013-08-30"
74.89,75.57,74.85,75.18,129.657630249,1846200,0,1,"2013-08-29"
74.77,75.32,74.67,75.06,129.450674734,1331800,0,1,"2013-08-28"
75.29,75.56,74.75,74.81,129.019517411,1607200,0,1,"2013-08-27"
76.4,76.63,75.98,76.06,131.175304027,1408000,0,1,"2013-08-26"
76.29,76.4,75.93,76.3,131.589215057,848800,0,1,"2013-08-23"
75.52,76.16,75.52,76.05,131.158057734,1271600,0,1,"2013-08-22"
75.63,76.03,75.2,75.39,130.019802401,996800,0,1,"2013-08-21"
75.6,76.11,75.5088,75.78,130.692407825,1866600,0,1,"2013-08-20"
75.85,76.11,75.47,75.48,130.175019037,1650000,0,1,"2013-08-19"
76.06,76.314,75.79,75.96,131.002841098,1230000,0,1,"2013-08-16"
76.66,76.66,76.075,76.18,131.382259542,1501400,0,1,"2013-08-15"
77.66,77.77,77.27,77.31,133.331090643,992600,0,1,"2013-08-14"
77.58,77.815,77.14,77.75,134.089927532,4105600,0,1,"2013-08-13"
77.17,77.55,77.14,77.45,133.572538744,661000,0,1,"2013-08-12"
77.68,77.91,77.3,77.55,133.745001674,1236800,0,1,"2013-08-09"
77.86,77.93,77.365,77.77,134.124420118,998000,0,1,"2013-08-08"
77.5,77.6,77.216,77.5,133.658770209,862200,0,1,"2013-08-07"
78.06,78.1,77.58,77.77,134.124420118,827200,0,1,"2013-08-06"
78.17,78.309,78.04,78.24,134.934995886,635800,0,1,"2013-08-05"
78.01,78.3,77.8935,78.29,135.02122735,1117200,0,1,"2013-08-02"
77.84,78.23,77.8201,78.17,134.814271835,983600,0,1,"2013-08-01"
77.38,77.79,77.1726,77.23,133.1931203,1247000,0,1,"2013-07-31"
77.48,77.54,77.049,77.21,133.158627714,893800,0,1,"2013-07-30"
77.26,77.43,76.99,77.205,133.150004568,1854200,0,1,"2013-07-29"
77.04,77.48,76.73,77.43,133.538046158,1753600,0,1,"2013-07-26"
77.03,77.43,76.9299,77.33,133.365583229,628400,0,1,"2013-07-25"
77.79,77.8,77.04,77.19,133.124135128,1580000,0,1,"2013-07-24"
77.79,77.8068,77.43,77.48,133.624277623,2069600,0,1,"2013-07-23"
77.6,77.75,77.4182,77.64,133.90021831,840200,0,1,"2013-07-22"
77.2,77.5,77.09,77.5,133.658770209,735200,0,1,"2013-07-19"
77.09,77.53,77.07,77.36,133.417322108,865400,0,1,"2013-07-18"
77.02,77.14,76.83,76.92,132.658485219,1404800,0,1,"2013-07-17"
77.06,77.1,76.52,76.73,132.330805653,1397800,0,1,"2013-07-16"
76.92,77.11,76.81,77.02,132.830948148,1287800,0,1,"2013-07-15"
76.7,76.89,76.56,76.74,132.348051946,1942800,0,1,"2013-07-12"
76.54,76.77,76.29,76.72,132.31355936,2596600,0,1,"2013-07-11"
75.59,75.91,75.41,75.65,130.468206017,1543000,0,1,"2013-07-10"
75.55,75.73,75.24,75.63,130.433713431,1584000,0,1,"2013-07-09"
75.06,75.29,74.92,75.06,129.450674734,1673000,0,1,"2013-07-08"
74.44,74.7,73.89,74.67,128.77806931,1252800,0,1,"2013-07-05"
73.53,74.08,73.38,73.85,127.363873289,1026400,0,1,"2013-07-03"
73.78,74.33,73.5,73.78,127.243149239,2417400,0,1,"2013-07-02"
73.8699,74.4,73.77,73.89,127.432858461,2788800,0,1,"2013-07-01"
73.58,73.925,73.23,73.34,126.48431235,2052800,0,1,"2013-06-28"
73.79,74.116,73.726,73.8,127.277641825,1512200,0,1,"2013-06-27"
73.22,73.5,72.94,73.31,126.432573471,3421600,0,1,"2013-06-26"
72.59,72.88,72.11,72.63,125.259825552,3041400,0,1,"2013-06-25"
72.1,72.56,71.33,71.91,124.018092461,3727400,0.369,1,"2013-06-24"
73.48,73.55,72.49,73.2,125.598366997,3130800,0,1,"2013-06-21"
74.11,74.22,72.7828,72.97,125.203727319,3372400,0,1,"2013-06-20"
75.84,75.97,74.83,74.87,128.463794222,1981800,0,1,"2013-06-19"
75.35,76,75.3497,75.88,130.196777154,2066600,0,1,"2013-06-18"
75.24,75.64,74.89,75.3,129.201598837,2096200,0,1,"2013-06-17"
75.09,75.386,74.58,74.7,128.172104025,2345200,0,1,"2013-06-14"
74.01,75.3,73.86,75.16,128.961383381,2560200,0,1,"2013-06-13"
75.21,75.26,74,74.09,127.125450967,2116600,0,1,"2013-06-12"
74.76,75.34,74.49,74.67,128.120629285,3005600,0,1,"2013-06-11"
75.73,75.73,75.27,75.44,129.441814293,3682400,0,1,"2013-06-10"
75.04,75.53,74.71,75.47,129.493289033,2929200,0,1,"2013-06-07"
73.83,74.49,73.38,74.43,127.70883136,2345000,0,1,"2013-06-06"
74.69,74.82,73.79,73.85,126.713653042,2244600,0,1,"2013-06-05"
75.29,75.61,74.52,75,128.686851431,2381200,0,1,"2013-06-04"
75.03,75.3,74.48,75.23,129.081491109,2004400,0,1,"2013-06-03"
75.74,76.14,74.75,74.84,128.412319481,1629600,0,1,"2013-05-31"
75.71,76.29,75.68,75.95,130.316884882,889600,0,1,"2013-05-30"
75.75,75.92,75.26,75.62,129.750662736,1762400,0,1,"2013-05-29"
76.57,76.84,75.94,76.2,130.745841054,1133600,0,1,"2013-05-28"
75.3,75.7,75.1,75.66,129.819295723,1369600,0,1,"2013-05-24"
75.17,75.96,75.07,75.76,129.990878192,2269400,0,1,"2013-05-23"
76.66,77.426,75.6515,76.03,130.454150857,1956000,0,1,"2013-05-22"
76.53,76.84,76.26,76.54,131.329221447,962400,0,1,"2013-05-21"
76.38,76.748,76.306,76.44,131.157638978,1330800,0,1,"2013-05-20"
76.01,76.4898,75.91,76.44,131.157638978,1321400,0,1,"2013-05-17"
75.93,76.17,75.61,75.72,129.922245205,1353200,0,1,"2013-05-16"
75.55,76.22,75.52,76.07,130.522783845,1414000,0,1,"2013-05-15"
74.97,75.71,74.95,75.64,129.78497923,726000,0,1,"2013-05-14"
74.74,75,74.56,74.85,128.429477728,2417200,0,1,"2013-05-13"
74.67,74.87,74.44,74.86,128.446635975,1342200,0,1,"2013-05-10"
74.77,74.96,74.41,74.6,128.000521557,795000,0,1,"2013-05-09"
74.39,74.82,74.3393,74.82,128.378002987,589800,0,1,"2013-05-08"
